Region	Distance_to_Start	Sum_of_base_coverage	Count	Average_Read_Depth
3UTR	82	6353093	146200	43.4548
3UTR	83	6351405	146030	43.4938
3UTR	84	6354792	146030	43.517
3UTR	85	6358751	146030	43.5441
3UTR	86	6361094	146030	43.5602
3UTR	87	6362660	146030	43.5709
3UTR	88	6357085	145860	43.5835
3UTR	89	6361171	145860	43.6115
3UTR	90	6356732	145690	43.6319
3UTR	91	6359260	145690	43.6493
3UTR	92	6354328	145520	43.6664
3UTR	93	6355820	145520	43.6766
3UTR	94	6345991	145350	43.6601
3UTR	95	6347725	145350	43.672
3UTR	96	6326320	144840	43.678
3UTR	97	6330965	144840	43.7101
3UTR	98	6321576	144670	43.6965
3UTR	99	6317017	144500	43.7164
3UTR	100	6324030	144500	43.7649
3UTR	101	6320326	144330	43.7908
3UTR	102	6316505	144160	43.8159
3UTR	103	6313739	143990	43.8485
3UTR	104	6311462	143820	43.8845
3UTR	105	6314963	143820	43.9088
3UTR	106	6318269	143820	43.9318
3UTR	107	6309885	143650	43.9254
3UTR	108	6301622	143480	43.9199
3UTR	109	6282616	142970	43.9436
3UTR	110	6287021	142970	43.9744
3UTR	111	6288721	142970	43.9863
3UTR	112	6291616	142970	44.0065
3UTR	113	6293710	142970	44.0212
3UTR	114	6289209	142800	44.0421
3UTR	115	6283293	142630	44.0531
3UTR	116	6277963	142460	44.0683
3UTR	117	6271486	142290	44.0754
3UTR	118	6273051	142290	44.0864
3UTR	119	6274066	142290	44.0935
3UTR	120	6266157	142120	44.0906
3UTR	121	6258173	141950	44.0872
3UTR	122	6260210	141950	44.1015
3UTR	123	6264286	141950	44.1302
3UTR	124	6264925	141950	44.1347
3UTR	125	6268508	141950	44.16
3UTR	126	6262484	141780	44.1704
3UTR	127	6263617	141780	44.1784
3UTR	128	6263747	141780	44.1793
3UTR	129	6266162	141780	44.1964
3UTR	130	6268207	141780	44.2108
3UTR	131	6269330	141780	44.2187
3UTR	132	6270183	141780	44.2247
3UTR	133	6271378	141780	44.2332
3UTR	134	6273977	141780	44.2515
3UTR	135	6275413	141610	44.3148
3UTR	136	6261277	141270	44.3213
3UTR	137	6261896	141270	44.3257
3UTR	138	6261729	141270	44.3245
3UTR	139	6261911	141270	44.3258
3UTR	140	6260569	141270	44.3163
3UTR	141	6254028	141100	44.3234
3UTR	142	6256517	141100	44.341
3UTR	143	6243661	140760	44.3568
3UTR	144	6246644	140760	44.378
3UTR	145	6248234	140760	44.3893
3UTR	146	6248418	140760	44.3906
3UTR	147	6233406	140420	44.3912
3UTR	148	6224143	140250	44.3789
3UTR	149	6215217	140080	44.3691
3UTR	150	6205496	139910	44.3535
3UTR	151	6205014	139910	44.35
3UTR	152	6197575	139740	44.3508
3UTR	153	6197684	139740	44.3515
3UTR	154	6196422	139740	44.3425
3UTR	155	6189739	139570	44.3486
3UTR	156	6191874	139570	44.3639
3UTR	157	6193544	139570	44.3759
3UTR	158	6192777	139570	44.3704
3UTR	159	6193593	139570	44.3762
3UTR	160	6184959	139400	44.3684
3UTR	161	6174496	139060	44.4017
3UTR	162	6173610	139060	44.3953
3UTR	163	6174666	139060	44.4029
3UTR	164	6176782	139060	44.4181
3UTR	165	6179062	139060	44.4345
3UTR	166	6179862	139060	44.4403
3UTR	167	6181275	139060	44.4504
3UTR	168	6181795	139060	44.4542
3UTR	169	6176289	138890	44.4689
3UTR	170	6169757	138720	44.4763
3UTR	171	6142914	138210	44.4462
3UTR	172	6126684	137870	44.4381
3UTR	173	6128039	137870	44.448
3UTR	174	6116182	137700	44.4167
3UTR	175	6098816	137360	44.4002
3UTR	176	6101309	137360	44.4184
3UTR	177	6100303	137360	44.4111
3UTR	178	6099265	137360	44.4035
3UTR	179	6091403	137190	44.4012
3UTR	180	6090486	137190	44.3945
3UTR	181	6073991	136850	44.3843
3UTR	182	6068009	136680	44.3957
3UTR	183	6060093	136510	44.393
3UTR	184	6050631	136340	44.379
3UTR	185	6050668	136170	44.4347
3UTR	186	6040982	136000	44.419
3UTR	187	6041868	135830	44.4811
3UTR	188	6024524	135150	44.5766
3UTR	189	6018163	134980	44.5856
3UTR	190	6018837	134980	44.5906
3UTR	191	6012887	134810	44.6027
3UTR	192	6005674	134640	44.6054
3UTR	193	5996259	134470	44.5918
3UTR	194	5989903	134300	44.6009
3UTR	195	5980486	134130	44.5872
3UTR	196	5980211	134130	44.5852
3UTR	197	5973414	133960	44.591
3UTR	198	5972821	133960	44.5866
3UTR	199	5972310	133960	44.5828
3UTR	200	5972029	133960	44.5807
3UTR	201	5970350	133960	44.5682
3UTR	202	5972176	133960	44.5818
3UTR	203	5972330	133960	44.5829
3UTR	204	5966126	133790	44.5932
3UTR	205	5967023	133790	44.5999
3UTR	206	5968947	133790	44.6143
3UTR	207	5962608	133620	44.6236
3UTR	208	5964182	133620	44.6354
3UTR	209	5948649	133280	44.6327
3UTR	210	5942184	133110	44.6412
3UTR	211	5943314	133110	44.6496
3UTR	212	5928088	132770	44.6493
3UTR	213	5926297	132770	44.6358
3UTR	214	5924737	132770	44.6241
3UTR	215	5926857	132770	44.64
3UTR	216	5926914	132770	44.6405
3UTR	217	5919355	132600	44.6407
3UTR	218	5910930	132430	44.6344
3UTR	219	5913480	132430	44.6536
3UTR	220	5914512	132430	44.6614
3UTR	221	5916121	132430	44.6736
3UTR	222	5918896	132430	44.6945
3UTR	223	5920200	132430	44.7044
3UTR	224	5922866	132430	44.7245
3UTR	225	5913413	132260	44.7105
3UTR	226	5916049	132260	44.7304
3UTR	227	5919714	132260	44.7582
3UTR	228	5921437	132260	44.7712
3UTR	229	5922172	132260	44.7767
3UTR	230	5922376	132260	44.7783
3UTR	231	5917095	132090	44.7959
3UTR	232	5918108	132090	44.8036
3UTR	233	5918107	132090	44.8036
3UTR	234	5918506	132090	44.8066
3UTR	235	5906605	131920	44.7741
3UTR	236	5908273	131920	44.7868
3UTR	237	5904041	131750	44.8125
3UTR	238	5900352	131580	44.8423
3UTR	239	5894289	131410	44.8542
3UTR	240	5896943	131410	44.8744
3UTR	241	5899298	131410	44.8923
3UTR	242	5899672	131410	44.8952
3UTR	243	5900153	131410	44.8988
3UTR	244	5891479	131240	44.8909
3UTR	245	5892559	131240	44.8991
3UTR	246	5894040	131240	44.9104
3UTR	247	5895144	131240	44.9188
3UTR	248	5886803	131070	44.9134
3UTR	249	5888488	131070	44.9263
3UTR	250	5890115	131070	44.9387
3UTR	251	5891955	131070	44.9527
3UTR	252	5881659	130900	44.9325
3UTR	253	5881022	130900	44.9276
3UTR	254	5881803	130900	44.9336
3UTR	255	5881801	130900	44.9335
3UTR	256	5882821	130900	44.9413
3UTR	257	5883759	130900	44.9485
3UTR	258	5885382	130900	44.9609
3UTR	259	5886782	130900	44.9716
3UTR	260	5888865	130900	44.9875
3UTR	261	5889959	130900	44.9959
3UTR	262	5884524	130730	45.0128
3UTR	263	5884889	130730	45.0156
3UTR	264	5885115	130730	45.0173
3UTR	265	5867461	130390	44.9993
3UTR	266	5867335	130390	44.9984
3UTR	267	5859307	130220	44.9954
3UTR	268	5861892	130220	45.0153
3UTR	269	5858199	130050	45.0457
3UTR	270	5852370	129880	45.0598
3UTR	271	5843178	129710	45.048
3UTR	272	5833230	129540	45.0303
3UTR	273	5833542	129540	45.0327
3UTR	274	5835754	129540	45.0498
3UTR	275	5827117	129370	45.0423
3UTR	276	5827268	129370	45.0434
3UTR	277	5814265	129030	45.0613
3UTR	278	5815362	129030	45.0698
3UTR	279	5818221	129030	45.092
3UTR	280	5800075	128690	45.0701
3UTR	281	5789224	128520	45.0453
3UTR	282	5791272	128520	45.0613
3UTR	283	5792145	128520	45.068
3UTR	284	5791845	128520	45.0657
3UTR	285	5794008	128520	45.0825
3UTR	286	5787949	128350	45.095
3UTR	287	5788559	128350	45.0998
3UTR	288	5779419	128180	45.0883
3UTR	289	5781402	128180	45.1038
3UTR	290	5770803	128010	45.0809
3UTR	291	5749735	127670	45.0359
3UTR	292	5740653	127500	45.0247
3UTR	293	5741581	127500	45.032
3UTR	294	5742212	127500	45.037
3UTR	295	5741031	127500	45.0277
3UTR	296	5741193	127500	45.029
3UTR	297	5741465	127500	45.0311
3UTR	298	5731405	127330	45.0122
3UTR	299	5732204	127330	45.0185
3UTR	300	5732516	127330	45.0209
3UTR	301	5733982	127330	45.0325
3UTR	302	5732329	127330	45.0195
3UTR	303	5732462	127330	45.0205
3UTR	304	5732728	127330	45.0226
3UTR	305	5722706	127160	45.004
3UTR	306	5716159	126990	45.0127
3UTR	307	5696447	126650	44.9779
3UTR	308	5696945	126650	44.9818
3UTR	309	5697230	126650	44.9841
3UTR	310	5697738	126650	44.9881
3UTR	311	5699893	126650	45.0051
3UTR	312	5700203	126650	45.0075
3UTR	313	5692730	126480	45.0089
3UTR	314	5691845	126480	45.0019
3UTR	315	5692292	126480	45.0055
3UTR	316	5693903	126480	45.0182
3UTR	317	5695990	126480	45.0347
3UTR	318	5697756	126480	45.0487
3UTR	319	5699607	126480	45.0633
3UTR	320	5684903	126140	45.0682
3UTR	321	5685882	126140	45.076
3UTR	322	5667109	125800	45.0486
3UTR	323	5656822	125630	45.0276
3UTR	324	5649565	125460	45.0308
3UTR	325	5651098	125460	45.043
3UTR	326	5654937	125460	45.0736
3UTR	327	5655705	125460	45.0797
3UTR	328	5647405	125290	45.0747
3UTR	329	5648365	125290	45.0823
3UTR	330	5640499	125120	45.0807
3UTR	331	5641153	125120	45.0859
3UTR	332	5640855	125120	45.0836
3UTR	333	5631622	124950	45.071
3UTR	334	5626231	124780	45.0892
3UTR	335	5619101	124610	45.0935
3UTR	336	5619503	124610	45.0967
3UTR	337	5609863	124440	45.0809
3UTR	338	5594112	124100	45.0775
3UTR	339	5582011	123760	45.1035
3UTR	340	5572394	123590	45.0877
3UTR	341	5563267	123420	45.0759
3UTR	342	5564389	123420	45.085
3UTR	343	5565917	123420	45.0974
3UTR	344	5566609	123420	45.103
3UTR	345	5567002	123420	45.1062
3UTR	346	5547034	123080	45.0685
3UTR	347	5540982	122910	45.0816
3UTR	348	5541895	122910	45.089
3UTR	349	5543475	122910	45.1019
3UTR	350	5532866	122740	45.0779
3UTR	351	5533110	122740	45.0799
3UTR	352	5524924	122570	45.0757
3UTR	353	5528795	122570	45.1072
3UTR	354	5534340	122570	45.1525
3UTR	355	5536978	122570	45.174
3UTR	356	5529906	122400	45.179
3UTR	357	5522718	122230	45.183
3UTR	358	5525313	122230	45.2042
3UTR	359	5519887	122060	45.2227
3UTR	360	5520801	122060	45.2302
3UTR	361	5521203	122060	45.2335
3UTR	362	5522150	122060	45.2413
3UTR	363	5523917	122060	45.2558
3UTR	364	5525041	122060	45.265
3UTR	365	5487749	121380	45.2113
3UTR	366	5488375	121380	45.2165
3UTR	367	5478390	121210	45.1975
3UTR	368	5469434	121040	45.187
3UTR	369	5469670	121040	45.1889
3UTR	370	5462443	120870	45.1927
3UTR	371	5462718	120870	45.195
3UTR	372	5457273	120700	45.2135
3UTR	373	5458310	120700	45.2221
3UTR	374	5450710	120530	45.2228
3UTR	375	5445158	120360	45.2406
3UTR	376	5446968	120360	45.2556
3UTR	377	5441116	120190	45.271
3UTR	378	5436247	120020	45.2945
3UTR	379	5436680	120020	45.2981
3UTR	380	5426087	119850	45.274
3UTR	381	5396369	119340	45.2184
3UTR	382	5397212	119340	45.2255
3UTR	383	5396935	119340	45.2232
3UTR	384	5397959	119340	45.2318
3UTR	385	5399082	119340	45.2412
3UTR	386	5399858	119340	45.2477
3UTR	387	5401197	119340	45.2589
3UTR	388	5385850	119000	45.2592
3UTR	389	5376665	118830	45.2467
3UTR	390	5377766	118830	45.256
3UTR	391	5371373	118660	45.2669
3UTR	392	5363944	118490	45.2692
3UTR	393	5350695	118150	45.2873
3UTR	394	5332160	117810	45.2607
3UTR	395	5327800	117640	45.289
3UTR	396	5328747	117640	45.2971
3UTR	397	5329014	117640	45.2993
3UTR	398	5329962	115940	45.9717
3UTR	399	5331346	115940	45.9837
3UTR	400	5332633	115940	45.9948
3UTR	401	5332473	115940	45.9934
3UTR	402	5334574	115940	46.0115
3UTR	403	5333585	115940	46.003
3UTR	404	5332102	115940	45.9902
3UTR	405	5331758	115940	45.9872
3UTR	406	5330403	115940	45.9755
3UTR	407	5331238	115940	45.9827
3UTR	408	5331638	115940	45.9862
3UTR	409	5323818	115770	45.9862
3UTR	410	5324970	115770	45.9961
3UTR	411	5305476	115430	45.9627
3UTR	412	5306182	115430	45.9688
3UTR	413	5307817	115430	45.983
3UTR	414	5308349	115430	45.9876
3UTR	415	5307392	115430	45.9793
3UTR	416	5306928	115430	45.9753
3UTR	417	5307469	115430	45.98
3UTR	418	5307464	115430	45.9799
3UTR	419	5306528	115430	45.9718
3UTR	420	5296952	115260	45.9566
3UTR	421	5294890	115260	45.9387
3UTR	422	5293865	115260	45.9298
3UTR	423	5293602	115260	45.9275
3UTR	424	5289553	115260	45.8924
3UTR	425	5288617	115260	45.8842
3UTR	426	5287121	115260	45.8713
3UTR	427	5277404	115090	45.8546
3UTR	428	5277582	115090	45.8561
3UTR	429	5276349	115090	45.8454
3UTR	430	5259137	113560	46.3115
3UTR	431	5259224	113560	46.3123
3UTR	432	5259960	113560	46.3188
3UTR	433	5261543	113560	46.3327
3UTR	434	5261648	113560	46.3336
3UTR	435	5259419	113560	46.314
3UTR	436	5258200	113560	46.3033
3UTR	437	5247166	113390	46.2754
3UTR	438	5246945	113390	46.2734
3UTR	439	5237530	113220	46.2598
3UTR	440	5236826	113220	46.2535
3UTR	441	5237485	113220	46.2594
3UTR	442	5228345	113050	46.2481
3UTR	443	5228678	113050	46.251
3UTR	444	5221956	112880	46.2611
3UTR	445	5214406	112710	46.2639
3UTR	446	5214992	112710	46.2691
3UTR	447	5216486	112710	46.2824
3UTR	448	5217089	112710	46.2877
3UTR	449	5216860	112710	46.2857
3UTR	450	5216324	112710	46.2809
3UTR	451	5207581	112540	46.2732
3UTR	452	5207344	112540	46.2711
3UTR	453	5206009	112540	46.2592
3UTR	454	5195238	112370	46.2333
3UTR	455	5195049	112370	46.2316
3UTR	456	5193751	112370	46.2201
3UTR	457	5195897	112370	46.2392
3UTR	458	5194835	112370	46.2297
3UTR	459	5193527	112370	46.2181
3UTR	460	5183196	112200	46.196
3UTR	461	5183419	112200	46.198
3UTR	462	5184247	112200	46.2054
3UTR	463	5185925	112200	46.2204
3UTR	464	5186343	112200	46.2241
3UTR	465	5179912	112030	46.2368
3UTR	466	5179634	112030	46.2343
3UTR	467	5154633	111520	46.2216
3UTR	468	5153173	111520	46.2085
3UTR	469	5153790	111520	46.214
3UTR	470	5153243	111520	46.2091
3UTR	471	5155802	111520	46.2321
3UTR	472	5154863	111520	46.2237
3UTR	473	5156166	111520	46.2353
3UTR	474	5155698	111520	46.2312
3UTR	475	5153876	111520	46.2148
3UTR	476	5153108	111520	46.2079
3UTR	477	5137995	111350	46.1427
3UTR	478	5118729	111010	46.1105
3UTR	479	5119699	111010	46.1193
3UTR	480	5120767	111010	46.1289
3UTR	481	5120904	111010	46.1301
3UTR	482	5111105	110840	46.1125
3UTR	483	5100733	110670	46.0896
3UTR	484	5098793	110670	46.072
3UTR	485	5098343	110670	46.068
3UTR	486	5098482	110670	46.0692
3UTR	487	5100451	110670	46.087
3UTR	488	5101993	110670	46.101
3UTR	489	5093881	110500	46.0985
3UTR	490	5094814	110500	46.1069
3UTR	491	5095889	110500	46.1166
3UTR	492	5097894	110500	46.1348
3UTR	493	5099077	110500	46.1455
3UTR	494	5098132	110500	46.1369
3UTR	495	5095820	110500	46.116
3UTR	496	5095762	110500	46.1155
3UTR	497	5094395	110500	46.1031
3UTR	498	5095036	110500	46.1089
3UTR	499	5087766	110330	46.1141
3UTR	500	5088297	110330	46.1189
3UTR	501	5082595	110160	46.1383
3UTR	502	5062200	109820	46.0954
3UTR	503	5054669	109650	46.0982
3UTR	504	5048391	109480	46.1124
3UTR	505	5049166	109480	46.1195
3UTR	506	5051944	109480	46.1449
3UTR	507	5043801	109310	46.1422
3UTR	508	5044002	109310	46.144
3UTR	509	5045586	109310	46.1585
3UTR	510	5045659	109310	46.1592
3UTR	511	5046171	109310	46.1639
3UTR	512	5045871	109310	46.1611
3UTR	513	5048359	109310	46.1839
3UTR	514	5049441	109310	46.1938
3UTR	515	5049305	109310	46.1925
3UTR	516	5051633	109310	46.2138
3UTR	517	5052332	109310	46.2202
3UTR	518	5053471	109310	46.2306
3UTR	519	5055254	109310	46.2469
3UTR	520	5056565	109310	46.2589
3UTR	521	5049102	109140	46.2626
3UTR	522	5040893	108970	46.2595
3UTR	523	5031458	108800	46.245
3UTR	524	5015452	108460	46.2424
3UTR	525	5016174	108460	46.2491
3UTR	526	5017857	108460	46.2646
3UTR	527	5016178	108460	46.2491
3UTR	528	5018672	108460	46.2721
3UTR	529	5011811	108290	46.2814
3UTR	530	5011952	108290	46.2827
3UTR	531	5003395	108120	46.2763
3UTR	532	4984310	107780	46.2452
3UTR	533	4974899	107610	46.2308
3UTR	534	4974530	107610	46.2274
3UTR	535	4977021	107610	46.2505
3UTR	536	4978770	107610	46.2668
3UTR	537	4980154	107610	46.2797
3UTR	538	4981445	107610	46.2917
3UTR	539	4983116	107610	46.3072
3UTR	540	4984657	107610	46.3215
3UTR	541	4984470	107610	46.3198
3UTR	542	4986587	107610	46.3394
3UTR	543	4987218	107610	46.3453
3UTR	544	4987935	107610	46.352
3UTR	545	4989648	107610	46.3679
3UTR	546	4990108	107610	46.3722
3UTR	547	4990953	107610	46.38
3UTR	548	4991804	107440	46.4613
3UTR	549	4993368	107440	46.4759
3UTR	550	4993738	107440	46.4793
3UTR	551	4992812	107440	46.4707
3UTR	552	4993887	107440	46.4807
3UTR	553	4988996	107270	46.5088
3UTR	554	4991181	107270	46.5291
3UTR	555	4993580	107270	46.5515
3UTR	556	4995767	107270	46.5719
3UTR	557	4986098	107100	46.5555
3UTR	558	4986225	107100	46.5567
3UTR	559	4987363	107100	46.5673
3UTR	560	4988999	107100	46.5826
3UTR	561	4990759	107100	46.5991
3UTR	562	4982707	106930	46.5978
3UTR	563	4974806	106760	46.598
3UTR	564	4976962	106760	46.6182
3UTR	565	4978073	106760	46.6286
3UTR	566	4979895	106760	46.6457
3UTR	567	4979953	106760	46.6462
3UTR	568	4979707	106760	46.6439
3UTR	569	4973686	106590	46.6618
3UTR	570	4974311	106590	46.6677
3UTR	571	4973117	106590	46.6565
3UTR	572	4975304	106590	46.677
3UTR	573	4976911	106590	46.6921
3UTR	574	4968555	106420	46.6882
3UTR	575	4957584	106250	46.6596
3UTR	576	4958779	106250	46.6709
3UTR	577	4953864	106080	46.6993
3UTR	578	4952955	106080	46.6908
3UTR	579	4952641	106080	46.6878
3UTR	580	4952006	106080	46.6818
3UTR	581	4951787	106080	46.6797
3UTR	582	4952457	106080	46.6861
3UTR	583	4949728	106080	46.6603
3UTR	584	4950911	106080	46.6715
3UTR	585	4942251	105910	46.6646
3UTR	586	4942087	105910	46.6631
3UTR	587	4940538	105910	46.6485
3UTR	588	4939305	105910	46.6368
3UTR	589	4938143	105910	46.6258
3UTR	590	4938880	105910	46.6328
3UTR	591	4938764	105910	46.6317
3UTR	592	4937274	105910	46.6176
3UTR	593	4937388	105910	46.6187
3UTR	594	4937697	105910	46.6216
3UTR	595	4917317	104550	47.0332
3UTR	596	4915751	104550	47.0182
3UTR	597	4907475	104380	47.0155
3UTR	598	4906375	104380	47.0049
3UTR	599	4906062	104380	47.0019
3UTR	600	4905020	104380	46.992
3UTR	601	4903645	104380	46.9788
3UTR	602	4904382	104210	47.0625
3UTR	603	4904722	104210	47.0658
3UTR	604	4902289	104210	47.0424
3UTR	605	4902816	104210	47.0475
3UTR	606	4895849	104040	47.0574
3UTR	607	4893646	104040	47.0362
3UTR	608	4893987	104040	47.0395
3UTR	609	4894152	104040	47.0411
3UTR	610	4893453	104040	47.0343
3UTR	611	4893560	104040	47.0354
3UTR	612	4884817	103190	47.3381
3UTR	613	4882110	103190	47.3119
3UTR	614	4882413	103190	47.3148
3UTR	615	4883351	103190	47.3239
3UTR	616	4881285	103190	47.3039
3UTR	617	4881083	103190	47.3019
3UTR	618	4881401	103190	47.305
3UTR	619	4860404	102850	47.2572
3UTR	620	4860671	102850	47.2598
3UTR	621	4850475	102680	47.2388
3UTR	622	4853459	102680	47.2678
3UTR	623	4853703	102680	47.2702
3UTR	624	4854068	102680	47.2737
3UTR	625	4853619	102680	47.2694
3UTR	626	4855578	102680	47.2884
3UTR	627	4857346	102680	47.3057
3UTR	628	4847155	102510	47.2847
3UTR	629	4847269	102510	47.2858
3UTR	630	4849450	102510	47.3071
3UTR	631	4841011	102340	47.3032
3UTR	632	4843694	102340	47.3294
3UTR	633	4844988	102340	47.3421
3UTR	634	4845641	102340	47.3485
3UTR	635	4846833	102340	47.3601
3UTR	636	4847002	102340	47.3618
3UTR	637	4848886	102340	47.3802
3UTR	638	4849403	102340	47.3852
3UTR	639	4840863	102170	47.3805
3UTR	640	4842687	102170	47.3983
3UTR	641	4844634	102170	47.4174
3UTR	642	4836936	102000	47.4209
3UTR	643	4837561	102000	47.4271
3UTR	644	4838051	102000	47.4319
3UTR	645	4837607	102000	47.4275
3UTR	646	4837372	102000	47.4252
3UTR	647	4837757	102000	47.429
3UTR	648	4827355	101830	47.406
3UTR	649	4821259	101660	47.4253
3UTR	650	4822344	101660	47.436
3UTR	651	4824828	101660	47.4604
3UTR	652	4825620	101660	47.4682
3UTR	653	4825960	101660	47.4716
3UTR	654	4825931	101660	47.4713
3UTR	655	4825940	101660	47.4714
3UTR	656	4824535	101660	47.4576
3UTR	657	4825070	101660	47.4628
3UTR	658	4825052	101660	47.4626
3UTR	659	4824319	101660	47.4554
3UTR	660	4815796	101490	47.4509
3UTR	661	4813956	101490	47.4328
3UTR	662	4804906	101320	47.4231
3UTR	663	4787245	100980	47.4079
3UTR	664	4778556	100810	47.4016
3UTR	665	4780181	100810	47.4177
3UTR	666	4778372	100810	47.3998
3UTR	667	4777861	100810	47.3947
3UTR	668	4763275	100640	47.3298
3UTR	669	4743811	100300	47.2962
3UTR	670	4742216	100300	47.2803
3UTR	671	4732513	100130	47.2637
3UTR	672	4732434	100130	47.2629
3UTR	673	4722263	99960	47.2415
3UTR	674	4721791	99960	47.2368
3UTR	675	4722768	99960	47.2466
3UTR	676	4722366	99960	47.2426
3UTR	677	4715034	99790	47.2496
3UTR	678	4714674	99790	47.246
3UTR	679	4715609	99790	47.2553
3UTR	680	4717762	99790	47.2769
3UTR	681	4717889	99790	47.2782
3UTR	682	4716977	99790	47.269
3UTR	683	4711034	99620	47.29
3UTR	684	4703369	99450	47.2938
3UTR	685	4702734	99450	47.2874
3UTR	686	4693292	99280	47.2733
3UTR	687	4692390	99280	47.2642
3UTR	688	4692950	99280	47.2698
3UTR	689	4692724	99280	47.2676
3UTR	690	4691808	99280	47.2583
3UTR	691	4690541	99280	47.2456
3UTR	692	4684309	99110	47.2637
3UTR	693	4683961	99110	47.2602
3UTR	694	4684037	99110	47.261
3UTR	695	4685019	99110	47.2709
3UTR	696	4677627	98940	47.2774
3UTR	697	4667895	98770	47.2603
3UTR	698	4666375	98770	47.2449
3UTR	699	4666255	98770	47.2436
3UTR	700	4657310	98600	47.2344
3UTR	701	4655775	98600	47.2188
3UTR	702	4655792	98600	47.219
3UTR	703	4654735	98600	47.2083
3UTR	704	4655964	98600	47.2207
3UTR	705	4655799	98600	47.2191
3UTR	706	4645774	98430	47.1988
3UTR	707	4636559	98260	47.1866
3UTR	708	4636702	98260	47.1881
3UTR	709	4636429	98260	47.1853
3UTR	710	4637747	98260	47.1987
3UTR	711	4632263	98090	47.2246
3UTR	712	4632399	98090	47.226
3UTR	713	4632446	98090	47.2265
3UTR	714	4633247	98090	47.2347
3UTR	715	4632686	98090	47.2289
3UTR	716	4634166	98090	47.244
3UTR	717	4635071	98090	47.2532
3UTR	718	4634120	98090	47.2436
3UTR	719	4633914	98090	47.2415
3UTR	720	4634444	98090	47.2469
3UTR	721	4616293	97750	47.2255
3UTR	722	4615582	97750	47.2182
3UTR	723	4615789	97750	47.2203
3UTR	724	4606333	97580	47.2057
3UTR	725	4607330	97580	47.2159
3UTR	726	4606706	97580	47.2095
3UTR	727	4607926	97580	47.222
3UTR	728	4608435	97580	47.2272
3UTR	729	4608093	97580	47.2237
3UTR	730	4608247	97580	47.2253
3UTR	731	4609635	97580	47.2395
3UTR	732	4610246	97580	47.2458
3UTR	733	4611486	97580	47.2585
3UTR	734	4610725	97580	47.2507
3UTR	735	4610494	97580	47.2484
3UTR	736	4610251	97580	47.2459
3UTR	737	4608998	97580	47.233
